Matrix_Size,N_Threads,Thread,Time
200,12,1,835
200,12,2,843
200,12,3,836
200,12,4,839
200,12,5,843
200,12,6,841
200,12,7,840
200,12,8,844
200,12,9,837
200,12,10,840
200,12,11,838
200,12,0,861
200,12,1,856
200,12,2,857
200,12,3,858
200,12,4,859
200,12,5,860
200,12,6,858
200,12,7,857
200,12,8,863
200,12,9,862
200,12,10,861
200,12,11,868
200,12,0,834
200,12,1,837
200,12,2,841
200,12,3,840
200,12,4,835
200,12,5,837
200,12,6,839
200,12,7,836
200,12,8,834
200,12,9,837
200,12,10,838
200,12,11,846
200,12,0,842
200,12,1,833
200,12,2,832
200,12,3,828
200,12,4,832
200,12,5,829
200,12,6,830
200,12,7,830
200,12,8,829
200,12,9,835
200,12,10,830
200,12,11,834
200,12,0,837
200,12,1,834
200,12,2,831
200,12,3,836
200,12,4,830
200,12,5,835
200,12,6,830
200,12,7,836
200,12,8,833
200,12,9,832
200,12,10,831
200,12,11,843
200,12,0,835
200,12,1,834
200,12,2,840
200,12,3,839
200,12,4,841
200,12,5,840
200,12,6,833
200,12,7,838
200,12,8,832
200,12,9,847
200,12,10,837
200,12,11,837
200,12,0,854
200,12,1,842
200,12,2,843
200,12,3,843
200,12,4,849
200,12,5,846
200,12,6,845
200,12,7,844
200,12,8,845
200,12,9,841
200,12,10,847
200,12,11,847
200,12,0,831
200,12,1,829
200,12,2,828
200,12,3,839
200,12,4,836
200,12,5,830
200,12,6,832
200,12,7,833
200,12,8,827
200,12,9,832
200,12,10,826
200,12,11,830
200,12,0,889
200,12,1,887
200,12,2,886
200,12,3,886
200,12,4,882
200,12,5,888
200,12,6,883
200,12,7,894
200,12,8,885
200,12,9,888
200,12,10,884
200,12,11,884
200,12,0,834
200,12,1,834
200,12,2,838
200,12,3,842
200,12,4,836
200,12,5,841
200,12,6,840
200,12,7,836
200,12,8,839
200,12,9,846
200,12,10,839
200,12,11,837
200,12,0,861
200,12,1,867
200,12,2,865
200,12,3,860
200,12,4,862
200,12,5,864
200,12,6,866
200,12,7,862
200,12,8,869
200,12,9,869
200,12,10,863
200,12,11,866
200,12,0,835
200,12,1,833
200,12,2,834
200,12,3,834
200,12,4,831
200,12,5,831
200,12,6,832
200,12,7,841
200,12,8,829
200,12,9,830
200,12,10,830
200,12,11,837
200,12,0,836
200,12,1,832
200,12,2,834
200,12,3,837
200,12,4,843
200,12,5,834
200,12,6,831
200,12,7,833
200,12,8,835
200,12,9,840
200,12,10,833
200,12,11,837
200,12,0,839
200,12,1,843
200,12,2,841
200,12,3,839
200,12,4,841
200,12,5,845
200,12,6,845
200,12,7,844
200,12,8,840
200,12,9,846
200,12,10,851
200,12,11,842
200,12,0,842
200,12,1,833
200,12,2,834
200,12,3,836
200,12,4,837
200,12,5,832
200,12,6,831
200,12,7,831
200,12,8,832
200,12,9,835
200,12,10,834
200,12,11,835
200,12,0,843
200,12,1,839
200,12,2,840
200,12,3,835
200,12,4,832
200,12,5,842
200,12,6,834
200,12,7,837
200,12,8,834
200,12,9,838
200,12,10,833
200,12,11,836
200,12,0,827
200,12,1,831
200,12,2,838
200,12,3,828
200,12,4,826
200,12,5,828
200,12,6,833
200,12,7,832
200,12,8,829
200,12,9,826
200,12,10,830
200,12,11,830
200,12,0,842
200,12,1,831
200,12,2,833
200,12,3,831
200,12,4,834
200,12,5,832
200,12,6,834
200,12,7,836
200,12,8,835
200,12,9,837
200,12,10,838
200,12,11,832
200,12,0,873
200,12,1,871
200,12,2,872
200,12,3,871
200,12,4,873
200,12,5,870
200,12,6,871
200,12,7,872
200,12,8,871
200,12,9,871
200,12,10,873
200,12,11,870
200,12,0,841
200,12,1,834
200,12,2,831
200,12,3,833
200,12,4,832
200,12,5,831
200,12,6,835
200,12,7,835
200,12,8,830
200,12,9,837
200,12,10,836
200,12,11,829
200,12,0,843
200,12,1,835
200,12,2,838
200,12,3,837
200,12,4,834
200,12,5,842
200,12,6,836
200,12,7,839
200,12,8,833
200,12,9,835
200,12,10,832
200,12,11,836
200,12,0,846
200,12,1,843
200,12,2,845
200,12,3,846
200,12,4,842
200,12,5,838
200,12,6,840
200,12,7,841
200,12,8,839
200,12,9,845
200,12,10,843
200,12,11,843
200,12,0,850
200,12,1,845
200,12,2,848
200,12,3,848
200,12,4,848
200,12,5,843
200,12,6,848
200,12,7,847
200,12,8,848
200,12,9,847
200,12,10,846
200,12,11,845
200,14,0,794
200,14,1,792
200,14,2,787
200,14,3,788
200,14,4,783
200,14,5,786
200,14,6,785
200,14,7,782
200,14,8,784
200,14,9,789
200,14,10,792
200,14,11,792
200,14,12,788
